"","Species","mean_l_max","max_juv_lengths"
"123","Parupeneus rubescens",26.1000003814697,8.70000012715658
"124","Petroscirtes mitratus",8.09999990463257,2.69999996821086
"125","Plagiotremus rhinorhynchos",12,4
"126","Plagiotremus tapeinosoma",13,4.33333333333333
"127","Plectroglyphidodon leucozonus",11.75,3.91666666666667
"128","Pleurosicya micheli",2.5,0.833333333333333
"129","Pomacanthus imperator",34.3333333333333,11.4444444444444
"130","Priacanthus hamrur",32.9199996948242,10.9733332316081
"131","Pristiapogon exostigma",9.52666664123535,3.17555554707845
"132","Pseudanthias squamipinnis",15,5
"133","Pseudobalistes fuscus",55,18.3333333333333
"134","Pseudocheilinus evanidus",8.5,2.83333333333333
"135","Pseudocheilinus hexataenia",8.75,2.91666666666667
"136","Pteragogus cryptus",9.5,3.16666666666667
"137","Pterois miles",36.3333333333333,12.1111111111111
"138","Pterois radiata",12.6343749761581,4.21145832538605
"139","Pygoplites diacanthus",25,8.33333333333333
"140","Salarias fasciatus",14,4.66666666666667
"141","Sargocentron caudimaculatum",22,7.33333333333333
"142","Sargocentron diadema",17,5.66666666666667
"143","Sargocentron rubrum",25,8.33333333333333
"144","Sargocentron spiniferum",NA,NA
"145","Saurida gracilis",28.8999996185303,9.63333320617676
"146","Scarus ferrugineus",NA,NA
"147","Scarus frenatus",NA,NA
"148","Scarus fuscopurpureus",28,9.33333333333333
"149","Scarus ghobban",NA,NA
"150","Scarus niger",NA,NA
"151","Scarus psittacus",NA,NA
"152","Scorpaenodes parvipinnis",13.5,4.5
"153","Scorpaenopsis diabolus",26.6999998092651,8.89999993642171
"154","Scuticaria tigrina",130,43.3333333333333
"155","Sebastapistes cyanostigma",8.5,2.83333333333333
"156","Siganus argenteus",33.3333333333333,11.1111111111111
"157","Siganus luridus",NA,NA
"158","Siganus rivulatus",NA,NA
"159","Siganus stellatus",35,11.6666666666667
"160","Sphyraena barracuda",151.187500476837,50.3958334922791
"161","Sphyraena flavicauda",47.0500001907349,15.6833333969116
"162","Spratelloides gracilis",8.5,2.83333333333333
"163","Stethojulis albovittata",12.9666665395101,4.3222221798367
"164","Stethojulis interrupta",13.3333333333333,4.44444444444444
"165","Synanceia verrucosa",39,13
"166","Synodus variegatus",24.8499999046326,8.28333330154419
"167","Taeniamia fucata",8.83333333333333,2.94444444444444
"168","Taeniura lymma",50.75,16.9166666666667
"169","Thalassoma lunare",35,11.6666666666667
"170","Trimma avidori",2.5,0.833333333333333
"171","Tylosurus choram",94.4000015258789,31.466667175293
"172","Valenciennea puellaris",17,5.66666666666667
"173","Variola louti",62.8571428571429,20.952380952381
"174","Zebrasoma desjardinii",40,13.3333333333333
"175","Zebrasoma xanthurum",36.7000007629395,12.2333335876465
