"","(Intercept)","activity","diet","rank","schooling","Size.FishBase","Status","water_level","df","logLik","AICc","delta","weight"
"21",0.462701617064929,NA,NA,0.00944863349797405,NA,-0.0152081124999943,NA,NA,5,-146.677889785442,304.029936874255,12.6599559677215,0.000428405011521746
"36",0.973461230716218,"+","+",NA,NA,NA,"+",NA,11,-139.565120357183,304.310963605933,12.9409826993991,0.000372246277270074
"19",1.51720786686053,NA,"+",NA,NA,-0.0177894396210701,NA,NA,9,-142.299591966464,304.716830991752,13.3468500852187,0.000303876685098005
"121",-0.152730434719694,NA,NA,NA,"+",-0.0106165243670888,"+","+",10,-141.055266140627,304.729579900302,13.3595989937679,0.00030194579777845
"114",1.0482998712546,"+",NA,NA,NA,-0.0109169132042707,"+","+",8,-143.638628549363,304.951675703378,13.581694796844,0.000270210050721185
"78",-0.171329289603371,"+",NA,0.0085899473219692,"+",NA,NA,"+",11,-139.902458109916,304.985639111399,13.6156582048655,0.000265660165362475
"14",0.356608582830663,"+",NA,0.00959355880585619,"+",NA,NA,NA,10,-141.192486545914,305.004020710876,13.6340398043423,0.000263229721951922
"107",0.0529996764023575,NA,"+",NA,"+",NA,"+","+",14,-135.914632060374,305.079264120749,13.709283214215,0.000253510543400165
"83",1.26408186910803,NA,"+",NA,NA,-0.0159056779833946,NA,"+",10,-141.287720273891,305.19448816683,13.8245072602963,0.000239318042831327
"11",0.699146354055132,NA,"+",NA,"+",NA,NA,NA,12,-138.753909239292,305.312696527365,13.9427156208317,0.000225583236412334
"57",0.539119581719852,NA,NA,NA,"+",-0.0113411180842645,"+",NA,9,-142.71823464178,305.554116342384,14.1841354358501,0.000199932398652006
"85",0.409923442272499,NA,NA,0.00877199611679018,NA,-0.0140735504459593,NA,"+",6,-146.343190015657,305.64092548586,14.2709445793263,0.000191440055006978
"7",0.2958967032538,NA,"+",0.00852603898792362,NA,NA,NA,NA,9,-142.772386617904,305.662420294632,14.2924393880983,0.000189393588122076
"110",-0.0126284665910858,"+",NA,0.00891175730911066,"+",NA,"+","+",12,-138.944632844575,305.69414373793,14.3241628313961,0.000186413179439205
"90",0.0831074852227608,"+",NA,NA,"+",-0.01286311472299,NA,"+",11,-140.330045225052,305.84081334167,14.4708324351358,0.000173231838280995
"46",0.540071058105911,"+",NA,0.00985735826651408,"+",NA,"+",NA,11,-140.47469002912,306.130102949807,14.7601220432732,0.000149902637341438
"43",0.852229294917094,NA,"+",NA,"+",NA,"+",NA,13,-137.874228273364,306.242283707222,14.8723028006879,0.000141726000587939
"22",0.761057912307678,"+",NA,0.00971774084932561,NA,-0.0159070092668159,NA,NA,7,-145.596423444276,306.480203210392,15.1102223038579,0.00012583051326956
"53",0.472808688988649,NA,NA,0.00945512241616478,NA,-0.0148987125278384,"+",NA,6,-146.848996105327,306.652537665199,15.2825567586651,0.000115442046399676
"26",0.738485322549023,"+",NA,NA,"+",-0.0140256738599841,NA,NA,10,-142.058229356376,306.7355063318,15.3655254252662,0.000110750985572804
"71",0.210691635980625,NA,"+",0.00736394775906634,NA,NA,NA,"+",10,-142.063380807714,306.745809234476,15.3758283279428,0.00011018192426423
"39",0.515257033349073,NA,"+",0.00869038044124627,NA,NA,"+",NA,10,-142.40529418967,307.429635998387,16.0596550918531,7.82743117667177e-05
"51",1.52613665803642,NA,"+",NA,NA,-0.0170792337680156,"+",NA,10,-142.429778501675,307.478604622397,16.1086237158631,7.63810907804152e-05
"76",0.050346046444269,"+","+",NA,"+",NA,NA,"+",15,-135.724377719753,307.524704806594,16.1547239000599,7.46406354896745e-05
"115",1.2740677521103,NA,"+",NA,NA,-0.0149663897713015,"+","+",11,-141.415291027881,308.011304947329,16.6413240407949,5.85209611430992e-05
"122",0.123582106417411,"+",NA,NA,"+",-0.0100698829716274,"+","+",12,-140.109788061966,308.024454172713,16.6544732661794,5.81374705217397e-05
"20",1.43637359814074,"+","+",NA,NA,-0.0176380884171138,NA,NA,11,-141.439665344637,308.06005358084,16.6900726743065,5.71117961814885e-05
"86",0.796111109041997,"+",NA,0.00921930917650626,NA,-0.0147392150876571,NA,"+",8,-145.227559744372,308.129538093395,16.7595571868608,5.51616754685506e-05
"29",0.0841523235909552,NA,NA,0.0100081327134338,"+",-0.0158276590531896,NA,NA,9,-144.071046161111,308.259739381046,16.8897584745123,5.16850092681231e-05
"117",0.424390737763905,NA,NA,0.00877805868057734,NA,-0.0136300704411776,"+","+",7,-146.514291027246,308.31593837633,16.9459574697966,5.02529014563763e-05
"108",0.264309368214465,"+","+",NA,"+",NA,"+","+",16,-134.727345271929,308.429049518216,17.0590686116823,4.74896937946697e-05
"103",0.422719594158774,NA,"+",0.00756215790564085,NA,NA,"+","+",11,-141.723664958069,308.628052807704,17.2580719011698,4.29918718039778e-05
"8",0.415952622612541,"+","+",0.00880824279185464,NA,NA,NA,NA,11,-141.778993724416,308.738710340398,17.3687294338642,4.0677792457328e-05
"93",-0.409111811794484,NA,NA,0.00900260009010483,"+",-0.0151188658858249,NA,"+",10,-143.072247751886,308.763543122819,17.3935622162856,4.01758437171884e-05
"84",1.32509001966747,"+","+",NA,NA,-0.0156251786277577,NA,"+",12,-140.512360448506,308.829598945792,17.459618039258,3.88705930092415e-05
"12",0.707559472850536,"+","+",NA,"+",NA,NA,NA,14,-137.862967987038,308.975935974076,17.6059550675419,3.61280469251649e-05
"58",0.795547858589947,"+",NA,NA,"+",-0.0118614820339131,"+",NA,11,-141.941824995261,309.064372882087,17.6943919755536,3.45653257221148e-05
"54",0.770277759486916,"+",NA,0.00973857541214053,NA,-0.0157084985943224,"+",NA,8,-145.739392021145,309.153202646941,17.7832217404071,3.30637048450399e-05
"23",1.02702246354744,NA,"+",0.00992296330916731,NA,-0.020536694203102,NA,NA,10,-143.390384470969,309.399816560986,18.0298356544521,2.92280596088404e-05
"72",0.422875862630628,"+","+",0.00778442643225171,NA,NA,NA,"+",12,-141.006691386723,309.818260822227,18.4482799156929,2.37102409581823e-05
"44",0.923244678921684,"+","+",NA,"+",NA,"+",NA,15,-137.062348731687,310.200646830462,18.8306659239285,1.95840225666916e-05
"40",0.707088509202173,"+","+",0.00911808626906467,NA,NA,"+",NA,12,-141.384462558308,310.573803165397,19.2038222588635,1.62506984788237e-05
"61",0.110113074292116,NA,NA,0.00995276945934677,"+",-0.0139709261449224,"+",NA,10,-144.013471657222,310.645990933492,19.2760100269582,1.56746068853015e-05
"91",0.489662511303142,NA,"+",NA,"+",-0.0163785071624944,NA,"+",14,-138.747224574586,310.744449149173,19.374468242639,1.4921645833923e-05
"118",0.825115736181466,"+",NA,0.00924336881568162,NA,-0.0142015712144493,"+","+",9,-145.358329531321,310.834306121466,19.4643252149323,1.42660760276249e-05
"52",1.44164145088709,"+","+",NA,NA,-0.0173408959066319,"+",NA,12,-141.5489757006,310.90282944998,19.5328485434458,1.37855749071048e-05
"27",1.22407828472917,NA,"+",NA,"+",-0.0186642188674195,NA,NA,13,-140.210836418786,310.915499998067,19.5455190915331,1.36985155757624e-05
"30",0.57680871233965,"+",NA,0.0105561144011348,"+",-0.0161539031244831,NA,NA,11,-142.97572564802,311.132174187606,19.7621932810725,1.22920213363676e-05
"125",-0.391370985076456,NA,NA,0.00898636824602976,"+",-0.0130760459257355,"+","+",11,-142.997100232357,311.174923356281,19.8049424497474,1.20320725353087e-05
"15",0.142776747074208,NA,"+",0.00930833660712573,"+",NA,NA,NA,13,-140.449908479561,311.393644119615,20.0236632130818,1.07856377813549e-05
"87",0.935610646228126,NA,"+",0.00914189221782597,NA,-0.0193632166893971,NA,"+",11,-143.158700922611,311.498124736788,20.1281438302547,1.023665704097e-05
"94",0.0857174172397799,"+",NA,0.00964106073076923,"+",-0.0153127356013036,NA,"+",12,-141.875435360201,311.555748769182,20.1857678626478,9.94592668810047e-06
"104",0.717339922346322,"+","+",0.00809592954410811,NA,NA,"+","+",13,-140.577344934961,311.648517030415,20.2785361238816,9.4951292695217e-06
"116",1.34674145360868,"+","+",NA,NA,-0.0147230183643536,"+","+",13,-140.600068838475,311.693964837445,20.323983930911,9.28179593117552e-06
"79",-0.397320582962658,NA,"+",0.00797114039469202,"+",NA,NA,"+",14,-139.333370319354,311.916740638708,20.5467597321739,8.30341731286614e-06
