"","(Intercept)","activity","diet","rank","schooling","Size.FishBase","Status","water_level","df","logLik","AICc","delta","weight"
"17",-1.14049196491442,NA,NA,NA,NA,0.0215084785124969,NA,NA,4,-125.554435350083,259.553315144611,0,0.215428361662015
"81",-1.0468300912813,NA,NA,NA,NA,0.0203757887447984,NA,"+",5,-125.111408032042,260.896973367455,1.34365822284383,0.110035089939484
"1",-0.601947991277494,NA,NA,NA,NA,NA,NA,NA,3,-127.485198379697,261.23413302313,1.68081787851861,0.0929646660985203
"65",-0.519368243041351,NA,NA,NA,NA,NA,NA,"+",4,-126.450908839573,261.34626212359,1.79294697897888,0.0878960561573578
"19",-1.33143766569949,NA,"+",NA,NA,0.0223729968416242,NA,NA,9,-121.135824925686,262.389296910196,2.83598176558479,0.0521767786781032
"33",-0.796103483330412,NA,NA,NA,NA,NA,"+",NA,4,-127.058693435696,262.561831315836,3.00851617122436,0.0478643199285812
"49",-1.13519325825054,NA,NA,NA,NA,0.0215938086685617,"+",NA,5,-125.990703986424,262.655565276218,3.10225013160675,0.0456728194237446
"97",-0.689691787215169,NA,NA,NA,NA,NA,"+","+",5,-126.223539087029,263.121235477428,3.56792033281704,0.0361858536528673
"66",-0.369745451454805,"+",NA,NA,NA,NA,NA,"+",6,-125.213322739533,263.38119093361,3.82787578899911,0.0317753404461518
"18",-1.04806394197291,"+",NA,NA,NA,0.0208478963185336,NA,NA,6,-125.452253855289,263.859053165123,4.30573802051202,0.0250220995287926
"113",-1.03460515747449,NA,NA,NA,NA,0.0207320966610272,"+","+",6,-125.543028830272,264.040603115089,4.48728797047767,0.0228507614481641
"3",-0.48426979504823,NA,"+",NA,NA,NA,NA,NA,8,-123.26076882186,264.195956248371,4.64264110375944,0.021142978697851
"2",-0.330450984304461,"+",NA,NA,NA,NA,NA,NA,5,-126.768234660791,264.210626624953,4.65731148034172,0.0209884583787143
"82",-1.03012364897273,"+",NA,NA,NA,0.0194094968644486,NA,"+",7,-124.548724587406,264.384805496651,4.83149035203951,0.019237918431909
"83",-1.18932884520686,NA,"+",NA,NA,0.0212153374865742,NA,"+",10,-120.908113552685,264.435274724417,4.88195957980531,0.0187585310053271
"67",-0.325683599944081,NA,"+",NA,NA,NA,NA,"+",9,-122.284357427812,264.686361914447,5.13304676983603,0.0165453490949615
"98",-0.590264796492331,"+",NA,NA,NA,NA,"+","+",7,-124.767282517911,264.821921357661,5.26860621305002,0.0154610710457652
"34",-0.56666238664755,"+",NA,NA,NA,NA,"+",NA,6,-126.301244602561,265.557034659668,6.00371951505667,0.0107056181911843
"51",-1.32585259666097,NA,"+",NA,NA,0.0238659776842946,"+",NA,10,-121.482804502947,265.584656624942,6.03134148033041,0.0105587794121772
"35",-0.64024914856193,NA,"+",NA,NA,NA,"+",NA,9,-123.090207377355,266.298061813533,6.74474666892189,0.0073909412235352
"25",-0.710407443272377,NA,NA,NA,"+",0.0222464264632657,NA,NA,8,-124.428941679819,266.532301964289,6.97898681967752,0.00657408244317008
"89",-0.206441100811986,NA,NA,NA,"+",0.0212370663787726,NA,"+",9,-123.350736293364,266.819119645552,7.26580450094025,0.00569578356303215
"21",-0.860402300434223,NA,NA,-0.00661628931733002,NA,0.0240290915511755,NA,NA,5,-128.138949615665,266.952056534702,7.39874139009021,0.00532950162870888
"50",-1.04575755353053,"+",NA,NA,NA,0.0208876718078989,"+",NA,7,-125.842700661276,266.972757644391,7.4194424997799,0.00527462283274673
"99",-0.474307607356215,NA,"+",NA,NA,NA,"+","+",10,-122.234731607652,267.088510834351,7.53519568973979,0.00497801183261742
"20",-1.32165081610459,"+","+",NA,NA,0.0221456489840449,NA,NA,11,-121.191112222796,267.562947337158,8.00963219254629,0.00392675085516978
"114",-1.0341429489171,"+",NA,NA,NA,0.0192889722301995,"+","+",8,-124.95278925254,267.579997109731,8.02668196511985,0.00389341803178545
"115",-1.18472794529855,NA,"+",NA,NA,0.0227046236397024,"+","+",11,-121.258651563506,267.698026018577,8.14471087396612,0.00367029848129175
"73",0.15512543714448,NA,NA,NA,"+",NA,NA,"+",8,-125.070890348953,267.816199302557,8.26288415794613,0.00345971545352288
"106",0.430093006221972,"+",NA,NA,"+",NA,"+","+",11,-121.345317583825,267.871358059216,8.31804291460497,0.00336560240707131
"74",0.571053623906457,"+",NA,NA,"+",NA,NA,"+",10,-122.887002927266,268.39305347358,8.83973832896834,0.00259285416017851
"9",-0.427837747061698,NA,NA,NA,"+",NA,NA,NA,7,-126.574658998307,268.436674318453,8.88335917384131,0.00253691515971631
"68",-0.414853135608845,"+","+",NA,NA,NA,NA,"+",11,-121.660946135485,268.502615162536,8.94930001792454,0.00245463584147455
"41",-0.508590350900252,NA,NA,NA,"+",NA,"+",NA,8,-125.430171535012,268.534761674675,8.98144653006392,0.00241549723606666
"4",-0.44747718951182,"+","+",NA,NA,NA,NA,NA,10,-122.993723741243,268.606495101533,9.05317995692133,0.00233039655257408
"105",0.0281821548592533,NA,NA,NA,"+",NA,"+","+",9,-124.28635031538,268.690347689584,9.13703254497233,0.00223471153653514
"90",0.0083834681521154,"+",NA,NA,"+",0.0201063444039728,NA,"+",11,-121.785230709452,268.751184310471,9.19786916585986,0.00216775884354843
"27",-0.460259676131168,NA,"+",NA,"+",0.0232955779680598,NA,NA,13,-119.198649907443,268.891126975379,9.33781183076781,0.00202126289258747
"23",-1.04746372756648,NA,"+",-0.00723497289630421,NA,0.0253102184203857,NA,NA,10,-123.155852379829,268.930752378705,9.37743723409392,0.0019816103232805
"85",-0.808623385409376,NA,NA,-0.00611484513802054,NA,0.0229563956128557,NA,"+",6,-128.062099883497,269.07874522154,9.52543007692901,0.00184027200100759
